Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 08/18  09:00:00,0.497385868668132,0.238126021568732,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,7.546582056356009E-002,1.644207770932665E-002,0.118440913983317,0.269925042722327,0.219534201736159 
 08/18  10:00:00,0.476350903667224,0.238156285499061,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,6.037265310713190E-002,1.315366289597190E-002,0.109439341159945,0.276273232814574,0.219127216846343 
 08/18  11:00:00,0.485123311941672,0.237854368966753,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,6.037265310713190E-002,1.315366289597190E-002,0.118127106899833,0.276357875349137,0.218819470329766 
 08/18  12:00:00,0.492009231938715,0.237255166436492,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,6.037265310713190E-002,1.315366289597190E-002,0.129668366297856,0.271702535948156,0.218540916934278 
 08/18  13:00:00,0.488366760559513,0.237591106256613,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,6.037265310713190E-002,1.315366289597190E-002,0.116630573582126,0.281097857284681,0.218229728500584 
 08/18  14:00:00,0.500782764910666,0.238610201736386,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,6.037265310713190E-002,1.315366289597190E-002,0.113218423969948,0.296926011248016,0.218158616922129 
 08/18  15:00:00,0.541338191436571,0.239638422713496,0.000000000000000E+000,0.000000000000000E+000,5.700243702702398E-003,1.899946255450599E-003,7.600189958152990E-003,1.899946255450599E-003,6.037265310713190E-002,1.315366289597190E-002,0.129668366297856,0.313431305487858,0.218049990966861 
 08/18  16:00:00,0.739104216366733,0.243307022799499,0.000000000000000E+000,0.000000000000000E+000,7.254937105661236E-002,2.418149381626430E-002,9.673086487287666E-002,2.418149381626430E-002,6.414594497123881E-002,1.397576705462970E-002,0.176405324391186,0.370734301387204,0.217771691703020 
 08/18  17:00:00,1.02476006036911,0.248798350817003,0.000000000000000E+000,0.000000000000000E+000,0.151246197618938,5.111623289353138E-002,0.202362430512469,5.111623289353138E-002,8.301240429177419E-002,1.808628602664225E-002,0.253803999437369,0.450382926411258,0.217777004523769 
 08/18  18:00:00,1.12038181551853,0.251586732305186,0.000000000000000E+000,0.000000000000000E+000,0.148336483425949,5.090703334479992E-002,0.199243516770749,5.090703334479992E-002,0.139611773894090,3.041784840650926E-002,0.215016716585461,0.488979922172116,0.217906913185470 
 08/18  19:00:00,1.18434488758160,0.252696766173913,0.000000000000000E+000,0.000000000000000E+000,0.139648440308879,4.854899849167550E-002,0.188197438800554,4.854899849167550E-002,0.271676947341384,5.919148485314999E-002,0.143443569296024,0.504723433600890,0.217932569980237 
 08/18  20:00:00,1.38705563636961,0.253902953885671,0.000000000000000E+000,0.000000000000000E+000,0.126960483038625,4.469064857080970E-002,0.171651131609435,4.469064857080970E-002,0.464114757177228,0.101118780553210,0.110983800153776,0.522075153186363,0.217943610916932 
 08/18  21:00:00,1.49009958813071,0.253090139268818,0.000000000000000E+000,0.000000000000000E+000,0.103420133253869,3.690185415092526E-002,0.140321987404795,3.690185415092526E-002,0.596179930624524,0.129892416999850,9.670661120269429E-002,0.509886628209248,0.217970314034757 
 08/18  22:00:00,1.14976987590003,0.248388604602502,0.000000000000000E+000,0.000000000000000E+000,4.894845061948556E-002,1.766340950665391E-002,6.661186012613936E-002,1.766340950665391E-002,0.445248256060239,9.700825065353844E-002,8.254796269208844E-002,0.441241532678422,0.217996896610277 
 08/18  23:00:00,0.849737495642980,0.244327217079291,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.309409865982456,6.741252643972800E-002,7.237240795950005E-002,0.383430681571697,0.217917388342523 
 08/18  24:00:00,0.593262366458541,0.239652650441158,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.158478191418172,3.452836009341598E-002,6.598822424871077E-002,0.317155577008642,0.217807699386705 
 08/19  01:00:00,0.511517924145706,0.301219928962834,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,9.433225480622347E-002,2.055259486006273E-002,8.750431654647417E-002,0.292016744243345,0.281106483236157 
